Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Alaa El-Din Ahmed,M,20.0,Egypt,EGY,2000,Sydney,Rowing,Rowing Men's Coxless Pairs,None
Mohammed Abdul Elah Ahmed,M,23.0,Iraq,IRQ,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle,None
Muhammad Anis Ahmed,M,26.0,Pakistan,PAK,2000,Sydney,Hockey,Hockey Men's Hockey,None
Shamha Ahmed,F,18.0,Maldives,MDV,2000,Sydney,Athletics,Athletics Women's 100 metres,None
"\"Christian \"\"Chris\"\" Ahrens\"",M,24.0,United States,USA,2000,Sydney,Rowing,Rowing Men's Coxed Eights,None
Stefan Ahrens,M,23.0,Germany,GER,2000,Sydney,Diving,Diving Men's Springboard,None
Mara Magdalena Aicega Amicarelli,F,26.0,Argentina,ARG,2000,Sydney,Hockey,Hockey Women's Hockey,Silver
Clelia Ailara,F,28.0,Italy,ITA,2000,Sydney,Softball,Softball Women's Softball,None
Djamel Ainaoui,M,25.0,France,FRA,2000,Sydney,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",None
"\"Charles Benedict \"\"Ben\"\" Ainslie\"",M,23.0,Great Britain,GBR,2000,Sydney,Sailing,Sailing Mixed One Person Dinghy,Gold
Ian Richard Ainslie,M,35.0,South Africa,RSA,2000,Sydney,Sailing,Sailing Men's One Person Dinghy,None
Kurt Harold Ainsworth,M,22.0,United States,USA,2000,Sydney,Baseball,Baseball Men's Baseball,Gold
Michael Christopher Aish,M,24.0,New Zealand,NZL,2000,Sydney,Athletics,"Athletics Men's 10,000 metres",None
"\"Amina \"\"Mina\"\" At Hammou\"",F,22.0,Morocco,MAR,2000,Sydney,Athletics,Athletics Women's 800 metres,None
Fiorella Ata Junek,F,23.0,Peru,PER,2000,Sydney,Volleyball,Volleyball Women's Volleyball,None
Brett Aitken,M,29.0,Australia,AUS,2000,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",None
Brett Aitken,M,29.0,Australia,AUS,2000,Sydney,Cycling,Cycling Men's Madison,Gold
Artur Surenovych Aivazian,M,27.0,Ukraine,UKR,2000,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",None
Artur Surenovych Aivazian,M,27.0,Ukraine,UKR,2000,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",None
Artur Surenovych Aivazian,M,27.0,Ukraine,UKR,2000,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",None
Yakubu Aiyegbeni,M,17.0,Nigeria,NGR,2000,Sydney,Football,Football Men's Football,None
Eirini Andili,F,17.0,Greece,GRE,2000,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Kikelomo Ajayi,F,23.0,Nigeria,NGR,2000,Sydney,Football,Football Women's Football,None
Omar Ajete Iglesias,M,35.0,Cuba,CUB,2000,Sydney,Baseball,Baseball Men's Baseball,Silver
Geard Ajetovi,M,19.0,Serbia and Montenegro,SCG,2000,Sydney,Boxing,Boxing Men's Welterweight,None
Zita Ajkler,F,25.0,Hungary,HUN,2000,Sydney,Athletics,Athletics Women's Long Jump,None
Olusegun Ajose,M,20.0,Nigeria,NGR,2000,Sydney,Boxing,Boxing Men's Light-Welterweight,None
Benedicta Ajudua,F,20.0,Nigeria,NGR,2000,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,None
Kouadio Vincent Aka-Akesse,M,24.0,Cote d'Ivoire,CIV,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",None
Norihiro Akahoshi,M,24.0,Japan,JPN,2000,Sydney,Baseball,Baseball Men's Baseball,None
zdemir Akbal,M,23.0,Turkey,TUR,2000,Sydney,Archery,Archery Men's Individual,None
zdemir Akbal,M,23.0,Turkey,TUR,2000,Sydney,Archery,Archery Men's Team,None
lknur Akdoan,F,31.0,Turkey,TUR,2000,Sydney,Sailing,Sailing Women's Windsurfer,None
Giorgos Akhilleos,M,19.0,Cyprus,CYP,2000,Sydney,Shooting,Shooting Men's Skeet,None
Adkhamdzhon Akhilov,M,24.0,Uzbekistan,UZB,2000,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",None
Damir Akhmetbekov,M,25.0,Kazakhstan,KAZ,2000,Sydney,Diving,Diving Men's Platform,None
Bakhyt Beshimbekovich Akhmetov,M,21.0,Kyrgyzstan,KGZ,2000,Sydney,Weightlifting,Weightlifting Men's Middle-Heavyweight,None
Doli Akhtar,F,14.0,Bangladesh,BAN,2000,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,None
Mercy Akide (-Udoh),F,25.0,Nigeria,NGR,2000,Sydney,Football,Football Women's Football,None
Peter Akinlabi,M,27.0,Nigeria,NGR,2000,Sydney,Table Tennis,Table Tennis Men's Singles,None
Marina Dazmirovna Akobiya,F,25.0,Russia,RUS,2000,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze
Mavis Akoto,F,22.0,Ghana,GHA,2000,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,None
Muhammad Akram,M,29.0,Pakistan,PAK,2000,Sydney,Rowing,Rowing Men's Single Sculls,None
Nikolay Aleksandrovich Aksyonov,M,30.0,Russia,RUS,2000,Sydney,Rowing,Rowing Men's Coxed Eights,None
Alyona Aksyonova,F,20.0,Uzbekistan,UZB,2000,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",None
Alyona Aksyonova,F,20.0,Uzbekistan,UZB,2000,Sydney,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",None
Serap Akta,F,28.0,Turkey,TUR,2000,Sydney,Athletics,Athletics Women's Marathon,None
Salem Mouled Musa'id Al-Ahmadi,M,31.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's Triple Jump,None
Adel Al-Anezi,M,23.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Nasser Salih Nasser Abdullah Al-Attiya,M,29.0,Qatar,QAT,2000,Sydney,Shooting,Shooting Men's Skeet,None
Khodor Munir Al-Aywan,M,27.0,Lebanon,LIB,2000,Sydney,Weightlifting,Weightlifting Men's Light-Heavyweight,None
Musayed Ayed Al-Azimi,M,31.0,Kuwait,KUW,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Hamdan Awdah Al-Bishi,M,19.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's 400 metres,None
Hamdan Awdah Al-Bishi,M,19.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Hamed Hamadan Al-Bishi,M,18.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Mohamed Hamed Al-Bishi,M,24.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Saleh Al-Buraiki,M,23.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Hamoud Abdallah Said Al-Dalhami,M,28.0,Oman,OMA,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,None
Ramy Abdelhadi Al-Deeb,M,23.0,Palestine,PLE,2000,Sydney,Athletics,Athletics Men's 20 kilometres Walk,None
Fehaid Al-Deehani,M,33.0,Kuwait,KUW,2000,Sydney,Shooting,Shooting Men's Double Trap,Bronze
Khaled Al-Dosari,M,28.0,Saudi Arabia,KSA,2000,Sydney,Taekwondo,Taekwondo Men's Heavyweight,None
Rashid Shafi Al-Dosari,M,19.0,Qatar,QAT,2000,Sydney,Athletics,Athletics Men's Discus Throw,None
Ramzy Al-Duhami,M,28.0,Saudi Arabia,KSA,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",None
Khaled Al-Eid,M,31.0,Saudi Arabia,KSA,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Mohamed Al-Fararjeh,M,22.0,Jordan,JOR,2000,Sydney,Taekwondo,Taekwondo Men's Welterweight,None
Bader Aman Abdul Rahman Al-Fulaij,M,23.0,Kuwait,KUW,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Fahad Al-Geaid,M,32.0,Saudi Arabia,KSA,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",None
Hamad A. Al-Hammadi,M,24.0,Qatar,QAT,2000,Sydney,Table Tennis,Table Tennis Men's Singles,None
Mishal Sayed Al-Harbi,M,25.0,Kuwait,KUW,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Mariam Mohamed Hadj Al-Hilli,F,16.0,Bahrain,BRN,2000,Sydney,Athletics,Athletics Women's 100 metres,None
